-0.043224,34,Zotu559,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
-0.047894,35,Zotu31,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,(s__pasteri/s__sp._oral_taxon_278)
0.075378,37,Zotu265,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
0.016366,38,Zotu75,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Megasphaera,s__micronuciformis
-0.0029833,39,Zotu337,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Dialister,s__invisus
-0.068915,40,Zotu33,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,(s__flava/s__mucosa/s__pharyngis/s__sicca)
0.022225,41,Zotu78,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,s__asaccharolyticum
-0.1016,42,Zotu91,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_[G-2],s__sp._oral_taxon_085
0.093929,44,Zotu249,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__salivae
-0.030418,45,Zotu48,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,
-0.0017584,46,Zotu487,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__adiacens
0.12272,47,Zotu282,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
-0.093708,48,Zotu10,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__veroralis
0.076764,49,Zotu266,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,(s__salivarius/s__vestibularis)
0.087691,51,Zotu399,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
0.030467,52,Zotu27,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Selenomonas,(s__sp._oral_taxon_136/s__sp._oral_taxon_149/s__sp._oral_taxon_478)
-0.003217,53,Zotu516,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
0.029573,54,Zotu444,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,(s__odontolyticus/s__sp._oral_taxon_180)
0.044551,55,Zotu570,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,(s__dentisani/s__infantis/s__mitis/s__oralis/s__sp._oral_taxon_058/s__sp._oral_taxon_061/s__sp._oral_taxon_064/s__sp._oral_taxon_070/s__sp._oral_taxon_423/s__sp._oral_taxon_431/s__tigurinus)
-0.015332,56,Zotu43,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__sanguinis
-0.0087642,57,Zotu89,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,
0.048668,58,Zotu424,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__sp._oral_taxon_309
0.053531,59,Zotu19,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
0.068487,60,Zotu80,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
-0.03392,62,Zotu449,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
-0.083302,64,Zotu144,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__nucleatum_subsp._animalis
0.031261,65,Zotu13,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,
-0.030328,66,Zotu430,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__pallens
0.045777,67,Zotu51,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__lingnae_[NVP]
