"zOTU" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"29" "14db59deab7dd8839745c33cb8a068d6" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" ""
"30" "7d135dfbf857c62673695ef24332b100" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__mucilaginosa"
"31" "2740cf2417c92847cc298cbd71dd1fcd" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" "s__dispar"
"32" "2721fd42d5373667f111c60faaf21eac" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__mucilaginosa"
"33" "cbef40f459197faa8de7bba6a4764a34" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__pallens"
"34" "e2879cd23b61aa8e31f26312ebb22b00" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Porphyromonadaceae" "g__Porphyromonas" "(s__pasteri/s__sp._oral_taxon_278)"
"35" "d8a05ea8aecfcf5910db345be88e712a" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__nanceiensis"
"36" "e341d76ffa2250ed506c5fb284abdca6" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Lachnospiraceae_[XIV]" "g__Lachnoanaerobaculum" ""
"37" "2bd9309f2f97cae51d18d06ea1ca519a" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Carnobacteriaceae" "g__Granulicatella" "s__adiacens"
"38" "0ed3a6836e138f14044f6950ad7280d2" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Actinomyces" ""
"39" "f1860fe716257bd5fd5c4c6a16cf3b95" "k__Bacteria" "p__Proteobacteria" "c__Betaproteobacteria" "o__Neisseriales" "f__Neisseriaceae" "g__Neisseria" ""
"40" "d83f60183d81253a505beaeef3cd168f" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__dentocariosa"
"41" "8e493df449e84acb4e24f5811ff3599b" "k__Bacteria" "p__Firmicutes" "c__Erysipelotrichia" "o__Erysipelotrichales" "f__Erysipelotrichaceae" "g__Solobacterium" "s__moorei"
"42" "8d35d777e6abf2644eb139cf26bf2cbc" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" "s__sp._oral_taxon_917"
