357,44,23,628,21,496,0,2,24,0,0,0,23,1,0,0,5,51,49,4,24,27,1,0,2,0,2,0,0,150,256,0,0,159,375,0,8,41,75,0,0,3,0,0,44,214,43,0,1,24,0,0,1796,0,89,0,13,30,0,95,3,0,0,8,0,100,135,1798,0,0,718,23,8,1,58,0,13,1,0,12,1,54,0,54,2073,11,1,0,6,1409,1
41,16,5,926,23,138,2,0,52,0,2,0,0,1,0,0,1,77,12,3,4,26,0,0,15,0,5,0,0,245,143,0,0,69,359,0,2,130,0,2,0,0,0,0,4,257,689,2,0,31,0,0,406,0,105,1,2,0,0,11,0,0,0,0,1,40,71,3413,0,7,259,8,9,0,143,0,0,0,0,33,0,32,0,148,1806,14,0,0,2,2517,0
80,12,1,1361,31,274,3,0,53,0,1,0,1,2,0,0,2,48,26,0,4,24,0,0,10,0,6,0,0,94,208,0,0,161,186,0,14,100,0,1,0,0,2,0,5,147,298,0,0,33,0,0,256,0,52,0,0,0,0,3,0,0,0,0,1,8,36,2330,0,0,505,2,7,1,84,0,0,0,0,55,0,2,0,82,2702,5,3,0,7,1353,0
76,10,2,1293,5,504,0,0,81,0,0,0,8,6,1,0,1,37,20,0,2,25,0,0,21,0,1,0,0,152,171,0,0,129,418,0,16,107,0,0,0,0,1,0,12,219,391,1,0,46,0,0,151,0,65,0,2,1,0,9,0,0,0,0,2,28,37,3079,0,2,435,1,5,2,108,0,0,0,0,69,0,1,0,138,2654,6,2,0,2,1473,0
67,14,0,806,34,214,0,1,101,0,10,18,8,0,0,0,1,43,38,1,7,15,0,0,13,0,4,0,5,157,97,0,0,173,364,0,2,76,0,1,0,0,0,0,6,130,194,0,0,32,0,0,736,0,91,0,1,16,0,28,0,0,0,0,0,34,163,2814,1,1,460,4,17,0,58,0,0,2,0,9,0,3,0,70,1920,10,5,0,27,1872,0
98,30,0,711,39,403,0,2,73,0,0,0,8,1,1,0,0,38,29,5,13,24,0,0,20,0,7,0,0,200,213,0,0,182,271,0,13,79,0,1,0,0,0,0,3,173,184,0,0,39,0,0,250,1,44,4,7,9,0,7,0,0,0,0,5,30,157,2277,0,0,334,6,9,0,84,1,0,0,0,34,1,10,0,104,2235,6,1,1,11,1463,2
112,14,1,672,53,268,1,2,80,0,1,0,10,0,0,0,7,51,33,1,11,13,0,0,6,0,9,1,0,189,98,0,1,98,252,0,5,58,0,0,0,0,0,0,8,115,282,0,0,38,0,0,487,0,111,0,0,1,0,31,0,0,0,1,1,45,143,3062,0,0,198,1,7,0,105,0,0,0,1,35,0,9,0,34,1422,3,1,1,8,1654,0
37,0,4,222,0,220,0,0,10,0,0,0,16,0,0,0,0,5,10,0,8,1,0,0,1,0,0,2,0,2,115,0,0,133,914,0,4,184,0,0,0,0,0,0,27,16,2,0,0,23,0,0,1716,0,137,0,0,6,0,0,0,0,0,0,0,10,13,4405,0,0,1,0,0,0,108,0,0,0,0,85,3,0,0,443,2844,0,0,0,0,1381,0
27,6,0,150,5,37,5,0,93,0,1,0,7,0,0,3,0,42,9,1,4,10,0,0,0,0,0,1,0,55,44,0,0,47,362,0,0,93,0,1,0,0,0,0,4,39,336,0,0,17,0,0,138,0,87,1,0,1,0,4,0,0,0,0,0,7,7,3678,0,0,313,0,2,0,72,0,0,0,0,20,0,0,0,67,2326,1,1,0,1,1906,0
90,12,0,892,22,358,1,0,129,2,0,0,26,0,1,0,5,25,56,1,10,12,0,0,15,0,9,2,1,323,395,0,0,280,1101,0,2,31,16,2,0,0,0,0,2,358,345,0,0,69,0,1,476,0,20,0,36,0,2,27,0,1,2,1,2,47,169,3003,0,0,723,18,18,0,65,0,0,0,0,41,0,62,0,139,2415,10,0,0,8,1637,0
