Genus,Species,Cluster
Streptococcus,lactarius/peroris,MIC3
Gemella,haemolysans/morbillorum/sanguinis,MIC3
Actinomyces,sp.,MIC3
Actinomyces,odontolyticus,MIC3
Veillonella,sp.,MIC3
Actinomyces,meyeri,MIC3
Actinomyces,naeslundii/oris,MIC3
Streptococcus,salivarius/vestibularis,MIC3
Streptococcus,sp.,MIC3
Streptococcus,gordonii,MIC3
Megasphaera,sp.,MIC3
Prevotella,melaninogenica,MIC3
Veillonella,sp.,MIC3
Campylobacter,concisus,MIC3
Megasphaera,micronuciformis,MIC3
Catonella,morbi,MIC3
Oribacterium,sinus,MIC3
Fusobacterium,nucleatum/subsp. animalis,MIC3
Fusobacterium,periodonticum,MIC3
Megasphaera,sp.,MIC3
Fusobacterium,nucleatum/subsp. polymorphum,MIC3
Aggregatibacter,segnis,MIC3
