sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
USMB.01.V1	16984	16294	95.94	16188	15514	91.34	12687	74.7
USMB.01.V2	18858	18059	95.76	17865	16850	89.35	13260	70.31
USMB.01.V3	15789	15204	96.29	15092	14484	91.73	11362	71.96
USMB.01.V4	16777	16018	95.48	15884	15141	90.25	12296	73.29
USMB.02.V1	14884	14421	96.89	14307	13594	91.33	11188	75.17
USMB.02.V4	15983	15255	95.45	15093	13558	84.83	9814	61.4
USMB.03.V1	15701	15181	96.69	15088	14435	91.94	11215	71.43
USMB.03.V2	16216	15571	96.02	15451	14720	90.77	12353	76.18
USMB.04.V1	15204	14572	95.84	14502	13765	90.54	11254	74.02
USMB.04.V2	16585	16034	96.68	15922	15098	91.03	12702	76.59
USMB.04.V3	18150	17566	96.78	17476	16623	91.59	13624	75.06
USMB.04.V4	17199	16766	97.48	16676	15679	91.16	12942	75.25
USMB.05.V1	15708	15072	95.95	14934	13802	87.87	11517	73.32
USMB.05.V2	18016	17505	97.16	17311	15361	85.26	11619	64.49
USMB.05.V3	18499	17902	96.77	17771	16564	89.54	13738	74.26
USMB.05.V4	16880	16232	96.16	16070	14674	86.93	12524	74.19
USMB.06.V1	16239	15869	97.72	15784	14902	91.77	11996	73.87
USMB.06.V2	16479	15702	95.28	15566	14649	88.89	11833	71.81
USMB.06.V3	16814	16308	96.99	16208	15217	90.5	11961	71.14
USMB.06.V4	14589	14143	96.94	14065	13364	91.6	11189	76.69
USMB.07.V1	14657	14044	95.82	13900	12778	87.18	10306	70.31
USMB.07.V2	12925	12613	97.59	12530	11886	91.96	9897	76.57
USMB.07.V3	18029	17548	97.33	17443	16630	92.24	13219	73.32
USMB.07.V4	13021	12753	97.94	12702	12206	93.74	9213	70.75
USMB.08.V1	19387	18637	96.13	18527	17355	89.52	14324	73.88
USMB.08.V2	21315	20571	96.51	20327	18303	85.87	13464	63.17
USMB.08.V3	22630	21889	96.73	21750	19784	87.42	14275	63.08
USMB.08.V4	20030	19265	96.18	19063	17555	87.64	15012	74.95
USMB.09.V1	15886	15594	98.16	15506	14695	92.5	11166	70.29
USMB.09.V2	20172	19434	96.34	19342	18301	90.72	14266	70.72
USMB.09.V3	20288	19797	97.58	19680	18811	92.72	13726	67.66
USMB.09.V4	17840	17381	97.43	17290	15959	89.46	13993	78.44
USMB.10.V1	19076	18403	96.47	18303	17193	90.13	13046	68.39
USMB.10.V2	14060	13679	97.29	13553	12100	86.06	7831	55.7
USMB.10.V3	8833	8634	97.75	8575	8003	90.6	6100	69.06
USMB.10.V4	16677	16304	97.76	16225	14784	88.65	11389	68.29
USMB.11.V1	16199	15569	96.11	15462	14670	90.56	11876	73.31
USMB.11.V2	14505	13996	96.49	13899	13200	91	10454	72.07
USMB.11.V3	16758	16064	95.86	15964	14907	88.95	12240	73.04
USMB.11.V4	16534	15925	96.32	15796	15006	90.76	11800	71.37
USMB.12.V1	14863	14473	97.38	14332	13544	91.13	11178	75.21
USMB.12.V2	16566	15856	95.71	15743	14797	89.32	11899	71.83
USMB.12.V3	18200	17633	96.88	17498	16267	89.38	12997	71.41
USMB.12.V4	15126	14676	97.02	14604	13817	91.35	10619	70.2
USMB.13.V1	17400	16633	95.59	16492	15424	88.64	12879	74.02
USMB.13.V2	13890	13509	97.26	13421	12650	91.07	9947	71.61
USMB.13.V4	17764	17194	96.79	17074	15919	89.61	12302	69.25
USMB.14.V1	13815	13467	97.48	13407	12744	92.25	9788	70.85
USMB.14.V2	12192	11707	96.02	11642	11114	91.16	8950	73.41
USMB.14.V3	13971	13483	96.51	13412	12669	90.68	10241	73.3
USMB.14.V4	21158	20562	97.18	20439	19370	91.55	15496	73.24
USMB.15.V1	19527	18681	95.67	18496	17754	90.92	13642	69.86
USMB.15.V2	16776	16424	97.9	16319	15399	91.79	12284	73.22
USMB.15.V3	21128	20429	96.69	20314	19232	91.03	14703	69.59
USMB.15.V4	18689	18267	97.74	18169	17124	91.63	13317	71.26
USMB.16.V1	18195	17673	97.13	17556	16685	91.7	14607	80.28
USMB.16.V2	13442	12877	95.8	12773	11893	88.48	9961	74.1
USMB.16.V3	16978	16577	97.64	16480	15477	91.16	13159	77.51
