sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
USMB.16.V4	9668	9412	97.35	9366	8819	91.22	7326	75.78
USMB.18.V1	17351	16925	97.54	16841	16058	92.55	13020	75.04
USMB.18.V2	17979	17353	96.52	17266	16248	90.37	13276	73.84
USMB.18.V3	16474	15999	97.12	15888	14964	90.83	12270	74.48
USMB.18.V4	19369	18784	96.98	18679	17695	91.36	14133	72.97
USMB.19.V1	16585	15922	96	15812	14982	90.33	11945	72.02
USMB.19.V2	211	192	91	173	142	67.3	116	54.98
USMB.19.V3	18178	17473	96.12	17371	16398	90.21	13554	74.56
USMB.19.V4	17249	16820	97.51	16736	15974	92.61	12680	73.51
USMB.20.V1	15977	15548	97.31	15447	14654	91.72	12179	76.23
USMB.20.V2	17374	16740	96.35	16620	15774	90.79	12968	74.64
USMB.20.V3	16481	16136	97.91	16054	15285	92.74	11771	71.42
USMB.20.V4	18370	17765	96.71	17635	16762	91.25	13166	71.67
USMB.21.V1	17874	17250	96.51	17126	15807	88.44	13178	73.73
USMB.21.V2	18807	18087	96.17	17966	16986	90.32	14021	74.55
USMB.21.V3	19800	19286	97.4	19103	17853	90.17	14844	74.97
USMB.21.V4	14903	14335	96.19	14235	13366	89.69	10933	73.36
USMB.22.V1	15444	15180	98.29	15114	14299	92.59	11932	77.26
USMB.22.V2	15918	15347	96.41	15268	14309	89.89	11851	74.45
USMB.22.V3	15655	15358	98.1	15280	14376	91.83	11423	72.97
USMB.22.V4	16221	15557	95.91	15455	14619	90.12	11344	69.93
USMB.23.V1	17958	17411	96.95	17292	16500	91.88	14023	78.09
USMB.23.V2	16808	16418	97.68	16322	15362	91.4	12117	72.09
USMB.23.V4	18528	17969	96.98	17828	16586	89.52	13044	70.4
USMB.24.V1	18192	17753	97.59	17618	16335	89.79	13421	73.77
USMB.24.V2	18517	17848	96.39	17717	16549	89.37	13621	73.56
USMB.24.V3	17455	16929	96.99	16807	15312	87.72	12515	71.7
USMB.24.V4	17175	16593	96.61	16481	15501	90.25	12551	73.08
USMB.25.V1	15584	14888	95.53	14815	14034	90.05	11511	73.86
USMB.25.V2	15382	14993	97.47	14924	14097	91.65	11627	75.59
USMB.25.V3	16853	16201	96.13	16093	14908	88.46	12264	72.77
USMB.25.V4	15662	15219	97.17	15141	14429	92.13	11996	76.59
USMB.26.V1	15460	14916	96.48	14826	13665	88.39	11565	74.81
USMB.26.V2	14790	14332	96.9	14272	13397	90.58	11798	79.77
USMB.26.V3	16145	15717	97.35	15609	14872	92.12	11979	74.2
USMB.26.V4	16599	16075	96.84	15922	15070	90.79	12394	74.67
USMB.27.V1	15400	15120	98.18	14984	13615	88.41	11260	73.12
USMB.27.V2	18174	17581	96.74	17453	16243	89.37	13481	74.18
USMB.27.V3	17379	16817	96.77	16714	15607	89.8	12898	74.22
USMB.27.V4	16771	16194	96.56	16082	14993	89.4	12927	77.08
USMB.28.V1	18522	17869	96.47	17779	16912	91.31	13088	70.66
USMB.28.V2	14510	14126	97.35	14039	13221	91.12	11168	76.97
USMB.28.V3	15091	14582	96.63	14494	13367	88.58	11258	74.6
USMB.28.V4b	16337	15926	97.48	15835	14999	91.81	12073	73.9
USMB.29.V1	15604	14908	95.54	14805	13826	88.61	10450	66.97
USMB.29.V2	17220	16522	95.95	16408	15554	90.33	12625	73.32
USMB.29.V4	14032	13506	96.25	13400	12806	91.26	10415	74.22
USMB.30.V1	16170	15774	97.55	15687	14687	90.83	11905	73.62
USMB.30.V2	17855	17408	97.5	17290	16120	90.28	12788	71.62
USMB.30.V4	21569	20760	96.25	20608	19707	91.37	15915	73.79
USMB.31.V1	21124	20437	96.75	20272	19213	90.95	14564	68.95
USMB.31.V2	20781	20115	96.8	19968	18463	88.85	14701	70.74
USMB.31.V3	22198	21278	95.86	21045	19341	87.13	12316	55.48
USMB.31.V4	20227	19697	97.38	19486	17730	87.66	12091	59.78
USMB.32.V1	20036	19140	95.53	18962	17703	88.36	15062	75.17
USMB.32.V2	21564	21049	97.61	20941	19768	91.67	17253	80.01
USMB.32.V3	17416	16833	96.65	16739	15544	89.25	13043	74.89
USMB.32.V4	19041	18428	96.78	18342	17655	92.72	14945	78.49
USMB.33.V1	159	140	88.05	133	95	59.75	58	36.48
USMB.33.V2	22019	21434	97.34	21315	19917	90.45	16008	72.7
USMB.33.V3	19827	19362	97.65	19284	18348	92.54	14984	75.57
USMB.33.V4	19782	18987	95.98	18701	17887	90.42	13731	69.41
USMB.34.V1	18666	18217	97.59	18133	17024	91.2	12752	68.32
USMB.34.V2	18398	17867	97.11	17778	16625	90.36	12119	65.87
USMB.34.V3	17528	16976	96.85	16871	15734	89.76	12326	70.32
USMB.34.V4	15203	14853	97.7	14800	13984	91.98	11641	76.57
USMB.35.V1	17449	16761	96.06	16565	15364	88.05	11271	64.59
USMB.35.V2	15308	14940	97.6	14857	14121	92.25	10839	70.81
USMB.35.V3	16505	15975	96.79	15912	14612	88.53	11917	72.2
USMB.35.V4	155	125	80.65	94	49	31.61	32	20.65
USMB.36.V1	18411	17931	97.39	17827	16905	91.82	12591	68.39
USMB.36.V2	16590	16102	97.06	15984	14999	90.41	11318	68.22
USMB.36.V3	18285	17866	97.71	17774	16669	91.16	12326	67.41
USMB.36.V4	22139	21205	95.78	20988	19359	87.44	13436	60.69
USMB.37.V1	17412	16836	96.69	16718	15844	90.99	12271	70.47
USMB.37.V2	19762	18991	96.1	18795	17958	90.87	14067	71.18
USMB.38.V1	18934	18220	96.23	18072	16665	88.02	12360	65.28
USMB.38.V2	13748	13397	97.45	13293	12743	92.69	10056	73.15
USMB.38.V3	16004	15314	95.69	15201	14634	91.44	10860	67.86
USMB.38.V4	17869	17381	97.27	17287	16398	91.77	12650	70.79
USMB.39.V1	16853	16116	95.63	15920	14459	85.79	11423	67.78
USMB.39.V2	19139	18517	96.75	18399	17263	90.2	12526	65.45
USMB.39.V3	18121	17540	96.79	17353	15959	88.07	12939	71.4
USMB.39.V4	17015	16467	96.78	16353	15551	91.4	11613	68.25
USMB.40.V1	16693	16331	97.83	16237	15205	91.09	12382	74.17
USMB.40.V2	19394	18864	97.27	18782	17623	90.87	14469	74.61
USMB.40.V3	17870	17483	97.83	17389	16099	90.09	12500	69.95
USMB.40.V4	19690	19217	97.6	19116	17785	90.33	13663	69.39
neg.ctrl.isol.1.ACTA121	114	103	90.35	93	24	21.05	13	11.4
neg.ctrl.isol.2.ACTA121	71	68	95.77	58	6	8.45	4	5.63
neg.ctrl.isol.3.ACTA121	72	60	83.33	19	12	16.67	10	13.89
neg.ctrl.isol.4.ACTA121	78	76	97.44	52	32	41.03	30	38.46
neg.ctrl.pcr.1.ACTA121	101	91	90.1	84	2	1.98	2	1.98
neg.ctrl.pcr.2.ACTA121	106	94	88.68	88	2	1.89	2	1.89
neg.ctrl.pcr.3.ACTA121	95	83	87.37	58	40	42.11	35	36.84
neg.ctrl.pcr.4.ACTA121	82	74	90.24	21	6	7.32	3	3.66
