-0.035197,35,Zotu452,k__Bacteria,p__Firmicutes,c__Bacilli,,,,
0.097437,36,Zotu35,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,
-0.018273,37,Zotu52,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,
0.10737,38,Zotu72,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
0.063753,39,Zotu50,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,
-0.037419,40,Zotu31,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Alloprevotella,s__sp._oral_taxon_308
0.0072435,41,Zotu276,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,
0.097431,42,Zotu283,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
0.092168,43,Zotu24,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Megasphaera,s__micronuciformis
0.13766,44,Zotu533,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
0.12457,45,Zotu77,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__salivae
-0.01355,46,Zotu335,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Veillonella,
0.035668,47,Zotu167,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,(s__salivarius/s__vestibularis)
-0.092993,48,Zotu44,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,
-0.037152,49,Zotu68,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__mucilaginosa
