sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
TP.01.V1	14944	14307	95.74	14230	13297	88.98	9790	65.51
TP.01.V2	19243	17946	93.26	17804	16990	88.29	13007	67.59
TP.01.V3	19654	18871	96.02	18753	17675	89.93	12919	65.73
TP.01.V4	19401	18640	96.08	18563	17351	89.43	12169	62.72
TP.02.V1	19141	18551	96.92	18394	17030	88.97	10536	55.04
TP.02.V4	20716	20125	97.15	20045	18932	91.39	13413	64.75
TP.03.V1	19134	18267	95.47	18188	17558	91.76	13550	70.82
TP.03.V2	19955	19361	97.02	19285	18287	91.64	13805	69.18
TP.04.V1	16821	16030	95.3	15947	14823	88.12	11254	66.9
TP.04.V2	15520	15107	97.34	15047	14001	90.21	10772	69.41
TP.04.V3	16381	15624	95.38	15542	14398	87.89	10810	65.99
TP.04.V4	17438	16638	95.41	16560	15701	90.04	11953	68.55
TP.05.V1	18965	18232	96.13	18118	16902	89.12	13811	72.82
TP.05.V2	18465	17925	97.08	17817	15948	86.37	12397	67.14
TP.05.V3	16707	16359	97.92	16292	15027	89.94	12511	74.88
TP.05.V4	15406	14987	97.28	14873	13454	87.33	9968	64.7
TP.06.V1	15048	14676	97.53	14614	13931	92.58	10781	71.64
TP.06.V2	16652	16063	96.46	15987	14694	88.24	9717	58.35
TP.06.V3	7347	7122	96.94	7082	6552	89.18	4137	56.31
TP.06.V4	14255	13924	97.68	13852	12980	91.06	7983	56
TP.07.V1	14692	13904	94.64	13824	12868	87.59	9702	66.04
TP.07.V2	15151	14824	97.84	14740	13710	90.49	10012	66.08
TP.07.V3	5021	4857	96.73	4827	4487	89.36	3552	70.74
TP.07.V4	16551	15698	94.85	15581	14649	88.51	9766	59.01
TP.08.V1	18451	17920	97.12	17802	16536	89.62	12246	66.37
TP.08.V2	19442	18566	95.49	18428	17080	87.85	12898	66.34
TP.08.V3	76	67	88.16	56	34	44.74	16	21.05
TP.08.V4	17106	16383	95.77	16268	15031	87.87	11624	67.95
TP.09.V1	12636	12336	97.63	12255	11318	89.57	6814	53.93
TP.09.V2	19793	19043	96.21	18956	18011	91	12446	62.88
TP.09.V3	18118	17484	96.5	17428	16577	91.49	10611	58.57
TP.09.V4	17654	17146	97.12	17020	16051	90.92	10758	60.94
TP.10.V1	15556	15094	97.03	15026	13624	87.58	11509	73.98
TP.10.V2	18159	17639	97.14	17431	16055	88.41	11868	65.36
TP.10.V3	19048	18479	97.01	18396	17299	90.82	13088	68.71
TP.10.V4	12289	11716	95.34	11660	10942	89.04	8870	72.18
TP.11.V1	18195	17170	94.37	17063	16132	88.66	12514	68.78
TP.11.V2	16806	16041	95.45	15974	15070	89.67	10254	61.01
TP.11.V3	17820	17198	96.51	17063	15780	88.55	11840	66.44
TP.11.V4	16712	15982	95.63	15886	14555	87.09	9845	58.91
TP.12.V1	17197	16590	96.47	16507	15390	89.49	11079	64.42
TP.12.V2	16502	16168	97.98	16053	14852	90	10344	62.68
TP.12.V3	14637	14173	96.83	14121	13263	90.61	10710	73.17
TP.12.V4	17697	17231	97.37	17103	15731	88.89	10878	61.47
TP.13.V1	16688	16148	96.76	16074	15115	90.57	12080	72.39
TP.13.V2	17079	16570	97.02	16489	15366	89.97	11635	68.12
TP.13.V4	15532	14665	94.42	14513	13169	84.79	9363	60.28
TP.14.V1	16433	15662	95.31	15588	14875	90.52	10654	64.83
TP.14.V2	20899	20148	96.41	20057	19149	91.63	14151	67.71
TP.14.V3	20661	19269	93.26	19159	18311	88.63	13783	66.71
TP.14.V4	20218	19489	96.39	19383	18525	91.63	13178	65.18
TP.15.V1	21824	20717	94.93	20582	19777	90.62	13537	62.03
TP.15.V2	15150	14628	96.55	14547	13800	91.09	10157	67.04
TP.15.V3	16815	16369	97.35	16285	15303	91.01	9768	58.09
TP.15.V4	16166	15573	96.33	15485	14674	90.77	9699	60
TP.16.V1	18012	17337	96.25	17257	16201	89.95	12868	71.44
TP.16.V2	14578	14042	96.32	13994	13054	89.55	10124	69.45
TP.16.V3	16364	15834	96.76	15744	14499	88.6	11027	67.39
TP.16.V4	18309	17757	96.99	17681	16782	91.66	13016	71.09
TP.18.V1	16482	15652	94.96	15551	14505	88.01	9963	60.45
TP.18.V2	19172	18435	96.16	18348	17267	90.06	13306	69.4
TP.18.V3	19116	18307	95.77	18132	16909	88.45	13080	68.42
TP.18.V4	16312	15827	97.03	15741	14795	90.7	10543	64.63
TP.19.V1	17092	16344	95.62	16210	15206	88.97	11196	65.5
TP.19.V2	90	62	68.89	39	14	15.56	8	8.89
TP.19.V3	17906	17185	95.97	17101	15695	87.65	11082	61.89
TP.19.V4	17521	16771	95.72	16684	15502	88.48	11212	63.99
TP.20.V1	16934	16548	97.72	16478	15333	90.55	10971	64.79
