sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
TP.20.V2	15110	14725	97.45	14660	13915	92.09	11121	73.6
TP.20.V3	18082	17596	97.31	17506	16049	88.76	11483	63.51
TP.20.V4	17821	17311	97.14	17236	16133	90.53	11043	61.97
TP.21.V1	18342	17716	96.59	17619	16497	89.94	13772	75.08
TP.21.V2	18727	17908	95.63	17817	16730	89.34	12013	64.15
TP.21.V3	17650	17257	97.77	17200	16325	92.49	12564	71.18
TP.21.V4	17043	16496	96.79	16389	15167	88.99	11502	67.49
TP.22.V1	15877	15454	97.34	15408	14532	91.53	12256	77.19
TP.22.V2	15452	15101	97.73	15040	14258	92.27	11609	75.13
TP.22.V3	15343	14855	96.82	14797	14038	91.49	11726	76.43
TP.22.V4	14248	13798	96.84	13737	12688	89.05	8715	61.17
TP.23.V1	16233	15763	97.1	15656	14611	90.01	11392	70.18
TP.23.V2	13704	13254	96.72	13155	12213	89.12	8955	65.35
TP.23.V4	14348	13810	96.25	13728	12450	86.77	9224	64.29
TP.24.V1	17575	16962	96.51	16793	15734	89.52	13352	75.97
TP.24.V2	15928	15343	96.33	15261	14377	90.26	11643	73.1
TP.24.V3	15884	15113	95.15	14978	13736	86.48	10760	67.74
TP.24.V4	14772	14159	95.85	14099	13394	90.67	10702	72.45
TP.25.V1	17252	16581	96.11	16499	15216	88.2	10959	63.52
TP.25.V2	15678	15251	97.28	15185	14224	90.73	11558	73.72
TP.25.V3	15361	14893	96.95	14828	14035	91.37	11829	77.01
TP.25.V4	15829	15323	96.8	15261	14430	91.16	12011	75.88
TP.26.V1	16297	16027	98.34	15973	14661	89.96	12157	74.6
TP.26.V2	14858	14356	96.62	14302	13516	90.97	11594	78.03
TP.26.V3	14104	13690	97.06	13632	12639	89.61	9528	67.56
TP.26.V4	14967	14262	95.29	14202	13317	88.98	10859	72.55
TP.27.V1	15963	15487	97.02	15383	14042	87.97	11582	72.56
TP.27.V2	17962	17270	96.15	17219	16185	90.11	13871	77.22
TP.27.V3	16491	15920	96.54	15876	15016	91.06	12657	76.75
TP.27.V4	16506	16101	97.55	16043	15354	93.02	13357	80.92
TP.28.V1	12709	12035	94.7	11985	11354	89.34	9343	73.51
TP.28.V2	10839	10215	94.24	10122	9308	85.88	7537	69.54
TP.28.V3	15039	14416	95.86	14329	13105	87.14	10453	69.51
TP.28.V4b	14408	13836	96.03	13791	12944	89.84	10363	71.93
TP.29.V1	16518	15948	96.55	15886	15215	92.11	11502	69.63
TP.29.V2	13244	12612	95.23	12535	11658	88.02	8604	64.97
TP.29.V4	17435	16960	97.28	16877	15771	90.46	11122	63.79
TP.30.V1	14213	13842	97.39	13745	12843	90.36	9656	67.94
TP.30.V2	17029	16274	95.57	16164	15191	89.21	12169	71.46
TP.30.V4	21247	20440	96.2	20317	18937	89.13	13187	62.07
TP.31.V1	18140	17518	96.57	17446	16655	91.81	12683	69.92
TP.31.V2	19204	18795	97.87	18719	17571	91.5	14396	74.96
TP.31.V3	20154	19432	96.42	19293	17959	89.11	12546	62.25
TP.31.V4	19372	18877	97.44	18789	17656	91.14	13976	72.15
TP.32.V1	18465	17854	96.69	17786	16600	89.9	13081	70.84
TP.32.V2	16327	15783	96.67	15726	14839	90.89	12710	77.85
TP.32.V3	17948	17441	97.18	17338	15939	88.81	12502	69.66
TP.32.V4	17083	16449	96.29	16361	15449	90.43	12202	71.43
TP.33.V1	18509	18001	97.26	17916	16787	90.7	10676	57.68
TP.33.V2	18785	18085	96.27	17982	16639	88.58	11970	63.72
TP.33.V3	18519	17707	95.62	17648	16587	89.57	12341	66.64
TP.33.V4	19447	18532	95.29	18428	17390	89.42	11781	60.58
TP.34.V1	18435	17781	96.45	17703	16367	88.78	11642	63.15
TP.34.V2	17248	16705	96.85	16652	15403	89.3	10805	62.64
TP.34.V3	15873	15469	97.45	15314	14440	90.97	12031	75.8
TP.34.V4	17293	16655	96.31	16576	15392	89.01	12072	69.81
TP.35.V1	17204	16545	96.17	16490	15663	91.04	11572	67.26
TP.35.V2	15780	15168	96.12	15078	13926	88.25	9050	57.35
TP.35.V3	17114	16393	95.79	16291	15119	88.34	10462	61.13
TP.35.V4	16634	16129	96.96	16053	15279	91.85	11580	69.62
TP.36.V1	16569	16141	97.42	16082	15402	92.96	10920	65.91
TP.36.V2	17595	16736	95.12	16667	15674	89.08	11158	63.42
TP.36.V3	17390	16649	95.74	16589	15627	89.86	11155	64.15
TP.36.V4	20940	19890	94.99	19803	18652	89.07	12570	60.03
TP.37.V1	19764	18452	93.36	18306	17309	87.58	13224	66.91
TP.37.V2	18735	17877	95.42	17791	16832	89.84	12429	66.34
TP.38.V1	16616	16078	96.76	16007	15146	91.15	12217	73.53
TP.38.V2	18576	17890	96.31	17775	16707	89.94	11622	62.56
TP.38.V3	18697	18091	96.76	18005	17202	92	11694	62.54
TP.38.V4	16641	16055	96.48	15993	15235	91.55	11707	70.35
TP.39.V1	17393	16826	96.74	16746	15527	89.27	12598	72.43
TP.39.V2	15833	15220	96.13	15102	13864	87.56	10954	69.18
TP.39.V3	16439	15948	97.01	15897	15075	91.7	11812	71.85
TP.39.V4	16971	16393	96.59	16337	15628	92.09	11440	67.41
TP.40.V1	15953	15248	95.58	15149	13920	87.26	10739	67.32
TP.40.V2	18376	17860	97.19	17744	16539	90	12802	69.67
TP.40.V3	19277	18546	96.21	18457	17258	89.53	13383	69.42
TP.40.V4	17892	17524	97.94	17468	16240	90.77	12222	68.31
neg.ctrl.1.1	233	209	89.7	198	198	84.98	197	84.55
neg.ctrl.2.2	97	86	88.66	83	83	85.57	82	84.54
neg.ctrl.3.3	215	196	91.16	186	184	85.58	184	85.58
neg.ctrl.4.4	80	68	85	64	62	77.5	61	76.25
neg.ctrl.5.1	107	98	91.59	59	46	42.99	40	37.38
neg.ctrl.6.2	46	38	82.61	18	9	19.57	7	15.22
neg.ctrl.7.3	39	32	82.05	17	9	23.08	9	23.08
neg.ctrl.8.4	38	32	84.21	17	14	36.84	12	31.58
neg.ctrl.isol.5.ACTA121	38	37	97.37	32	32	84.21	32	84.21
neg.ctrl.isol.6.ACTA121	92	80	86.96	77	76	82.61	76	82.61
neg.ctrl.isol.7.ACTA121	46	40	86.96	11	10	21.74	7	15.22
neg.ctrl.isol.8.ACTA121	75	61	81.33	38	28	37.33	24	32
neg.ctrl.pcr.5.ACTA121	88	79	89.77	78	72	81.82	71	80.68
neg.ctrl.pcr.6.ACTA121	17	16	94.12	5	2	11.76	2	11.76
neg.ctrl.pcr.7.ACTA121	43	35	81.4	27	8	18.6	7	16.28
neg.ctrl.pcr.8.ACTA121	41	35	85.37	18	18	43.9	18	43.9
